date,WETH,CRV,WETH_price,CRV_price,WETH_usd_volume,CRV_usd_volume,daily_volume_usd,fees_usd
2023-01-01,217.25796120279315,491004.3381308115,1200.34,0.527,260783.42115016072,258759.28619493768,519542.7073450984,1558.628122035295
2023-01-02,548.0773687463613,1307660.422621678,1214.0,0.533,665365.9256580827,696983.0052573545,1362348.9309154372,4087.0467927463114
2023-01-03,208.85469834650297,472030.8489871295,1214.55,0.53,253664.47387674518,250176.34996317865,503840.82383992383,1511.5224715197714
2023-01-04,452.83508375637496,1009703.9182229569,1256.9,0.554,569168.4167733877,559375.9706955182,1128544.387468906,3385.633162406718
2023-01-05,191.99190165663848,437818.82443479693,1251.24,0.543,240227.94702885233,237735.62166809474,477963.56869694707,1433.8907060908411
2023-01-06,144.62437789258934,338870.0210684255,1269.14,0.546,183548.58295860083,185023.03150336034,368571.6144619612,1105.7148433858836
2023-01-07,117.09118784567245,269967.4447712185,1264.07,0.55,148011.45782007917,148482.0946241702,296493.5524442494,889.4806573327481
2023-01-08,173.25839319110264,393345.1411876595,1290.16,0.577,223531.048559433,226960.14646527954,450491.19502471254,1351.4735850741376
2023-01-09,1471.3030691957276,3031874.5570810935,1320.39,0.641,1942693.859535347,1943431.591088981,3886125.450624328,11658.376351872985
2023-01-10,454.032561410329,932422.463349745,1335.62,0.65,606414.9696708636,606074.6011773343,1212489.570848198,3637.468712544594
2023-01-11,567.4682953541297,1145805.272181091,1389.39,0.671,788434.7748820743,768835.337633512,1557270.1125155864,4671.810337546759
2023-01-12,1241.2230020490576,2593117.756679187,1415.92,0.686,1757472.4730613017,1778878.7810819224,3536351.254143224,10609.053762429672
2023-01-13,1281.2340602699378,2440101.466127571,1451.2,0.804,1859326.8682637338,1961841.5787665674,3821168.447030301,11463.505341090904
2023-01-14,972.9753262605999,1827634.8204150768,1549.9,0.812,1508014.4581713038,1484039.4741770425,2992053.9323483463,8976.161797045039
2023-01-15,993.3806200907121,1841617.0164802854,1552.52,0.832,1542243.2803032324,1532225.3577115973,3074468.6380148297,9223.40591404449
2023-01-16,1138.666901385779,2035244.6359322688,1576.94,0.879,1795609.3834712906,1788980.0349844643,3584589.418455755,10753.768255367266
2023-01-17,560.8363658084397,973438.3572279107,1565.57,0.91,878028.5892187189,885828.9050773988,1763857.4942961177,5291.572482888353
2023-01-18,478.90453349174635,809403.4759768475,1511.43,0.893,723830.6790554302,722797.3040473248,1446627.9831027552,4339.883949308266
2023-01-19,211.36616257632758,356243.7815383249,1551.09,0.899,327847.9411105159,320263.1596029541,648111.10071347,1944.33330214041
2023-01-20,547.3209864730491,828680.8380717763,1658.52,1.031,907742.8024852814,854369.9440520013,1762112.7465372826,5286.338239611848
2023-01-21,244.03648259252657,399218.99309572316,1626.66,0.996,396964.3847739593,397622.11712334026,794586.5018972995,2383.7595056918985
2023-01-22,687.3971337784236,1037290.8868927977,1627.44,1.072,1118697.5913963579,1111975.8307490791,2230673.422145437,6692.020266436311
2023-01-23,454.949824240198,672966.7507959902,1626.29,1.067,739880.3496635916,718055.5230993215,1457935.8727629131,4373.80761828874
2023-01-24,2372.70881817703,3440998.656634464,1555.97,0.996,3691863.7398189134,3427234.662007926,7119098.40182684,21357.29520548052
2023-01-25,1647.6346750492721,2562773.4091466083,1611.94,1.031,2655888.2380989236,2642219.384830153,5298107.622929077,15894.32286878723
2023-01-26,1629.0190357268052,2438446.0346600167,1601.09,1.049,2608206.0879118303,2557929.890358357,5166135.978270188,15498.407934810564
2023-01-27,916.1756455980604,1370605.865129007,1597.62,1.132,1463700.5349203732,1551525.8393260357,3015226.374246409,9045.679122739228
2023-01-28,1273.4580634161664,1861050.5509541815,1572.1,1.072,2002003.421496555,1995046.1906228827,3997049.6121194377,11991.148836358314
2023-01-29,770.5587509679837,1139589.6389101814,1644.72,1.088,1267353.388892062,1239873.5271342774,2507226.9160263394,7521.6807480790185
2023-01-30,434.84851525119933,672398.0715897736,1566.2,0.993,681059.7445864284,667691.2850886452,1348751.0296750735,4046.2530890252206
2023-01-31,559.9650558725597,874052.7099925072,1585.33,1.019,887729.402026445,890659.7114823648,1778389.1135088098,5335.167340526429
2023-02-01,2098.393945276627,3186523.5252856426,1641.68,1.111,3444891.3720817333,3540227.636592349,6985119.008674082,20955.357026022248
2023-02-02,3429.0841119008937,5205392.123787837,1643.12,1.061,5634396.685946596,5522921.043338895,11157317.72928549,33471.95318785647
2023-02-03,1632.5105215489928,2456227.676738603,1663.52,1.114,2715713.9028071803,2736237.631886804,5451951.534693984,16355.854604081953
2023-02-04,862.477540286639,1292476.2886683084,1666.38,1.109,1437215.3235828497,1433356.204133154,2870571.5277160034,8611.71458314801
2023-02-05,1011.7149669917882,1564766.9692007229,1629.02,1.053,1648103.9155289629,1647699.618568361,3295803.534097324,9887.410602291973
2023-02-06,1213.9728207810244,1867472.8830340065,1614.29,1.046,1959704.1848586,1953376.6356535708,3913080.820512171,11739.242461536513
2023-02-07,1610.7978244672433,2494179.1353204586,1671.03,1.09,2691691.4886194975,2718655.2574993,5410346.746118797,16231.04023835639
2023-02-08,3168.1078179669316,4658773.590649481,1650.43,1.14,5228740.1860071635,5311001.893340408,10539742.079347571,31619.226238042716
2023-02-09,2864.0964849985553,4386307.463424293,1545.35,0.973,4426031.503092517,4267877.161911838,8693908.665004354,26081.72599501306
2023-02-10,1259.3828863283636,1991565.6198754143,1513.06,0.96,1905521.8699879937,1911902.9950803977,3817424.8650683914,11452.274595205174
2023-02-11,1265.161560863019,2034198.5295628917,1538.51,0.958,1946463.7130033635,1948762.19132125,3895225.9043246135,11685.67771297384
2023-02-12,794.620333117637,1265559.2432323003,1514.83,0.928,1203714.71921659,1174438.9777195747,2378153.696936165,7134.461090808495
2023-02-13,6341.868562123474,9541661.869601807,1505.24,1.054,9546034.234450737,10056911.610560305,19602945.84501104,58808.837535033126
2023-02-14,2144.1089939727103,3059570.7460782523,1555.71,1.078,3335611.803013285,3298217.2642723564,6633829.067285642,19901.487201856926
2023-02-15,1550.5265805349482,2261925.2928885845,1674.92,1.146,2597007.9802695955,2592166.3856503177,5189174.365919913,15567.52309775974
2023-02-16,2352.3669974551967,3442612.9386393265,1637.84,1.095,3852800.7631120193,3769661.1678100624,7622461.930922082,22867.385792766247
2023-02-17,2150.8042234440386,3055170.0005315915,1693.87,1.216,3643182.7499651536,3715086.7206464154,7358269.470611569,22074.808411834707
2023-02-18,1315.5061152690357,1827314.9787842229,1691.62,1.253,2225336.454711406,2289625.668416631,4514962.123128037,13544.88636938411
2023-02-19,645.2186002424946,885388.9489500296,1679.75,1.204,1083805.9437573303,1066008.2945358355,2149814.238293166,6449.4427148794975
2023-02-20,1168.7473351785832,1606233.3281899695,1703.27,1.269,1990692.2735896253,2038310.0934730712,4029002.3670626963,12087.007101188088
2023-02-21,1151.252868462969,1611503.1420506097,1659.76,1.162,1910803.4609600974,1872566.6510628082,3783370.1120229056,11350.110336068718
2023-02-22,556.7613479298395,818671.437619932,1643.14,1.108,914836.8412374366,907087.9528828848,1821924.7941203215,5465.774382360964
2023-02-23,598.0593110702783,896977.8930720838,1650.53,1.079,987114.8347008264,967839.1466247784,1954953.981325605,5864.861943976815
2023-02-24,1352.0292044016894,2152292.1563143525,1607.8,0.997,2173792.554837036,2145835.2798454096,4319627.834682446,12958.883504047339
2023-02-25,463.0415672044727,751950.6243891068,1594.58,0.987,738356.822232908,742175.2662720483,1480532.0885049563,4441.596265514869
2023-02-26,491.92365359606805,792669.5509794573,1641.36,1.021,807423.8080664423,809315.6115500259,1616739.4196164683,4850.218258849405
2023-02-27,594.0738431421272,961084.4719034552,1633.45,1.016,970389.9190805077,976461.8234539105,1946851.7425344181,5840.555227603255
2023-02-28,935.391771858363,1509005.2204051244,1605.23,0.994,1501518.9339402,1499951.1890826935,3001470.1230228934,9004.41036906868
2023-03-01,497.883935363578,793185.8480562846,1665.22,1.033,829086.2868461374,819360.9810421419,1648447.2678882792,4945.341803664837
2023-03-02,618.034972454057,1023026.5507058547,1647.86,0.99,1018435.1097081422,1012796.2851987961,2031231.3949069383,6093.694184720815
2023-03-03,691.6241394629897,1170179.001289704,1569.45,0.935,1085469.5056801892,1094117.3662058734,2179586.8718860624,6538.760615658188
2023-03-04,390.5470813825003,666199.8754666982,1566.73,0.909,611881.8288144048,605575.6867992287,1217457.5156136334,3652.3725468409
2023-03-05,465.70126472782124,789056.4161826404,1564.58,0.93,728626.8847678545,733822.4670498556,1462449.35181771,4387.348055453131
2023-03-06,511.6227441414714,844031.072408521,1565.84,0.948,801119.3576864816,800141.4566432778,1601260.8143297592,4803.782442989278
2023-03-07,933.3453206856499,1505063.3467430994,1561.96,0.973,1457848.0570981577,1464426.6363810357,2922274.6934791934,8766.82408043758
2023-03-08,1115.9269853678666,1869105.5974726244,1532.38,0.89,1710024.1938380115,1663503.9817506357,3373528.175588647,10120.58452676594
2023-03-09,748.7824624085813,1280427.314319796,1437.32,0.839,1076240.008869102,1074278.5167143086,2150518.5255834106,6451.555576750232
2023-03-10,1738.3540346225004,2841640.105089092,1426.44,0.887,2479657.7291469197,2520534.773214025,5000192.502360945,15000.577507082835
2023-03-11,2374.180862443243,4096368.064206336,1471.97,0.86,3494723.00409058,3522876.535217449,7017599.539308029,21052.798617924087
2023-03-12,950.0411863818567,1621369.0530689342,1580.33,0.951,1501378.5880748397,1541921.9694685563,3043300.557543396,9129.901672630189
2023-03-13,2034.5772226143272,3361821.3016620665,1673.45,0.977,3404763.253183946,3284499.411723839,6689262.664907785,20067.787994723356
2023-03-14,1118.0809772139983,1921403.9614273545,1699.4,0.988,1900066.8126774689,1898347.1138902262,3798413.926567695,11395.241779703085
2023-03-15,829.1488115665198,1464175.7543252653,1649.96,0.89,1368062.3731322952,1303116.421349486,2671178.7944817813,8013.536383445344
2023-03-16,1109.0654356834532,1937604.8633978388,1673.73,0.911,1856276.091666466,1765158.0305554313,3621434.1222218974,10864.302366665692
2023-03-17,446.25326464062294,808327.0674089452,1789.27,1.003,798467.5788235274,810752.0486111719,1609219.6274346993,4827.658882304098
2023-03-18,665.3024832141284,1174025.3243824884,1758.84,0.986,1170160.6195763375,1157588.9698411336,2327749.589417471,6983.248768252413
2023-03-19,912.1289881794761,1585313.3296580347,1780.68,1.018,1624209.8466714295,1613848.9695918793,3238058.8162633087,9714.176448789927
